Ground Truth Set: lat/lng: (42.30160006564681,-71.38359691947699)
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: TheNorthFace_Guest, BSSID: 02:18:5a:5a:93:31, capabilities: [ESS], level: -88, frequency: 5200, timestamp: 349555572863, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Williams-Sonoma Guest, BSSID: 5c:0e:8b:63:6f:32, capabilities: [ESS], level: -86, frequency: 5220, timestamp: 349570610773, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: NETGEAR60-5G, BSSID: 84:1b:5e:f0:79:24, capabilities: [WPS][ESS], level: -82, frequency: 5765, timestamp: 349570610807, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5745, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Store_LOB, BSSID: 6c:f3:7f:53:ae:86, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS], level: -58, frequency: 2412, timestamp: 349570610628, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft_Surface, BSSID: 6c:f3:7f:53:7a:a8, capabilities: [WPA2-PSK-CCMP][ESS], level: -58, frequency: 2437, timestamp: 349570610646, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: SECA, BSSID: 6c:f3:7f:53:ae:85, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS], level: -58, frequency: 2412, timestamp: 349570610625, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Homenet, BSSID: 6c:f3:7f:53:ae:84, capabilities: [WPA2-PSK-CCMP][ESS], level: -58, frequency: 2412, timestamp: 349570610621, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Mobile_LOB, BSSID: 6c:f3:7f:53:ae:83, capabilities: [WPA2-PSK-CCMP][ESS], level: -56, frequency: 2412, timestamp: 349570610618, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft_Surface, BSSID: 6c:f3:7f:53:ae:88, capabilities: [WPA2-PSK-CCMP][ESS], level: -56, frequency: 2412, timestamp: 349570610632, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft_Surface, BSSID: 6c:f3:7f:53:be:68, capabilities: [WPA2-PSK-CCMP][ESS], level: -78, frequency: 2437, timestamp: 349570610667, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Mobile_LOB, BSSID: 6c:f3:7f:53:bd:63, capabilities: [WPA2-PSK-CCMP][ESS], level: -69, frequency: 2462, timestamp: 349570610678, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Cell-kiosk, BSSID: 00:71:c2:de:b7:68, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -63, frequency: 2412, timestamp: 349555572356, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Mobile_LOB, BSSID: 6c:f3:7f:53:7a:a3, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 2437, timestamp: 349570610653, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: occ_store, BSSID: 34:db:fd:c2:56:0f, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5805, timestamp: 349555573374, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:7a:a1, capabilities: [ESS], level: -59, frequency: 2437, timestamp: 349570610650, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:bd:61, capabilities: [ESS], level: -65, frequency: 2462, timestamp: 349570610674, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Anthro Guest WiFi, BSSID: 00:15:70:51:aa:ca, capabilities: [ESS], level: -79, frequency: 2412, timestamp: 349555572274, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: xfinitywifi, BSSID: 20:25:64:f6:fd:92, capabilities: [ESS], level: -91, frequency: 5240, timestamp: 349570610796, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Homenet, BSSID: 6c:f3:7f:53:be:64, capabilities: [WPA2-PSK-CCMP][ESS], level: -59, frequency: 2437, timestamp: 349555572504, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
