04-14 10:54:23.414 W/PackageManager(  861): Permission com.android.chrome.permission.DEBUG from package com.android.chrome in an unknown group android.permission-group.DEVELOPMENT_TOOLS
04-14 11:31:29.235 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] exact match lookup failed
04-14 11:31:29.235 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying exact AP/partial cell lookup
04-14 11:31:29.238 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying partial lookup
04-14 11:31:29.238 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying exact AP-only lookup
04-14 11:31:29.238 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying partial AP-only lookup
04-14 11:31:29.238 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying exact cell-only lookup
04-14 11:31:29.239 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying partial cell-only lookup
04-14 11:31:29.239 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] trying lac look-up
04-14 11:31:29.241 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkvk [DEBUG] search failed
04-14 11:31:29.241 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkgl [DEBUG] location from cache: (WPS_ERROR,null)
04-14 11:31:29.241 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkgl [DEBUG] no cached location found
04-14 11:31:29.242 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkgl [DEBUG] scheduling remote request for new wifi scan
04-14 11:31:29.243 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkgl [DEBUG] 0 scans completed
04-14 11:31:29.243 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkkk [DEBUG] keeping previous injected location because new one is null
04-14 11:31:29.243 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkil [DEBUG] allow network requests because on external power and connected over Wi-Fi
04-14 11:31:29.243 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkko [DEBUG] trying to determine location locally...
04-14 11:31:29.246 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbj [DEBUG] searching for 32 aps in cache
04-14 11:31:29.246 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/1, 0.00%)
04-14 11:31:29.247 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/2, 0.00%)
04-14 11:31:29.247 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/3, 0.00%)
04-14 11:31:29.247 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/4, 0.00%)
04-14 11:31:29.247 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/5, 0.00%)
04-14 11:31:29.248 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/6, 0.00%)
04-14 11:31:29.248 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/7, 0.00%)
04-14 11:31:29.248 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/8, 0.00%)
04-14 11:31:29.248 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/9, 0.00%)
04-14 11:31:29.248 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/10, 0.00%)
04-14 11:31:29.248 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/11, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/12, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/13, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/14, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/15, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/16, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/17, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/18, 0.00%)
04-14 11:31:29.249 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/19, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/20, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/21, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/22, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/23, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/24, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/25, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/26, 0.00%)
04-14 11:31:29.250 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/27, 0.00%)
04-14 11:31:29.251 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/28, 0.00%)
04-14 11:31:29.251 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/29, 0.00%)
04-14 11:31:29.251 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/30, 0.00%)
04-14 11:31:29.251 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/31, 0.00%)
04-14 11:31:29.251 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/32, 0.00%)
04-14 11:31:29.252 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbj [DEBUG] no points of 32 found
04-14 11:31:29.252 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkbj [DEBUG] searching for 32/32/32 aps in open files
04-14 11:31:29.253 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/1, 0.00%)
04-14 11:31:29.253 D/com.skyhookwireless.xps(24460):  thrd=1084 com.skyhookwireless._sdkqh [DEBUG] cache miss (hit rate: 0/2, 0.00%)
