Ground Truth Set: lat/lng: (42.30246102669409,-71.38341084122658)
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: xfinitywifi, BSSID: d8:97:ba:c9:e9:8a, capabilities: [ESS], level: -79, frequency: 5240, timestamp: 348666504378, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: TheNorthFace_Guest, BSSID: 02:18:5a:5a:93:31, capabilities: [ESS], level: -89, frequency: 5200, timestamp: 348666504300, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2f:94:d9, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5745, timestamp: 348651505526, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2f:9e:41, capabilities: [WPA2-EAP-CCMP][ESS], level: -57, frequency: 2437, timestamp: 348666504217, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: ptmpos, BSSID: 00:23:68:8b:20:42, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -81, frequency: 2437, timestamp: 348666504194, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: pkmpos, BSSID: 00:23:68:43:54:b0, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -75, frequency: 5180, timestamp: 348666504274, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: ptmpos, BSSID: 00:23:68:43:54:b1, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -75, frequency: 5180, timestamp: 348666504266, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: WAPExt, BSSID: 0a:18:1a:81:d2:9a, capabilities: [WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -88, frequency: 5180, timestamp: 348666504277, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:94:db, capabilities: [ESS], level: -81, frequency: 5745, timestamp: 348651505511, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2f:94:d8, capabilities: [ESS], level: -81, frequency: 5745, timestamp: 348651505523, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2f:94:da, capabilities: [ESS], level: -80, frequency: 5745, timestamp: 348651505529, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2e:00:d3, capabilities: [ESS], level: -70, frequency: 2412, timestamp: 348666504145, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: xfinitywifi, BSSID: 20:25:64:6c:6e:02, capabilities: [ESS], level: -83, frequency: 5765, timestamp: 348651505535, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5745, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2e:00:d2, capabilities: [ESS], level: -71, frequency: 2412, timestamp: 348666504141, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: Nordstrom_Wi-Fi, BSSID: 00:24:6c:0d:78:cc, capabilities: [ESS], level: -80, frequency: 5180, timestamp: 348666504285, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: ac:a3:1e:9a:fe:53, capabilities: [ESS], level: -85, frequency: 5745, timestamp: 348666504393, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: Natick Courtesy Wireless, BSSID: 00:15:6d:53:d3:db, capabilities: [ESS], level: -66, frequency: 2462, timestamp: 348651505444, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: uniT, BSSID: d8:97:ba:ce:eb:f0, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -65, frequency: 2442, timestamp: 348651505416, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 8a:15:04:70:39:22, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 2437, timestamp: 348651505409, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:3a:98:f8:df:b6, capabilities: [WPA2-PSK-CCMP][ESS], level: -78, frequency: 2412, timestamp: 348651505337, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: xfinitywifi, BSSID: d8:97:ba:ce:eb:f2, capabilities: [ESS], level: -65, frequency: 2442, timestamp: 348666504213, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: TheNorthFace_Guest, BSSID: 8a:15:04:70:39:21, capabilities: [ESS], level: -74, frequency: 2437, timestamp: 348651505406, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: wlanpt03, BSSID: 00:23:68:43:54:b2, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -75, frequency: 5180, timestamp: 348666504270, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: p27x1c2, BSSID: 00:24:6c:0d:a3:33, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 2412, timestamp: 348651505349, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 02:18:4a:5a:93:30, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -70, frequency: 2462, timestamp: 348666504236, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 00:1b:8f:8a:de:8e, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 5240, timestamp: 348651505504, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
