venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:ce:17:ed, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -85, frequency: 5765, timestamp: 184854590581, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: W1reLess3, BSSID: 00:23:eb:61:cc:d3, capabilities: [WPA-PSK-TKIP][ESS], level: -82, frequency: 2412, timestamp: 184854590162, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: , BSSID: 74:26:ac:bd:7e:ff, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -88, frequency: 5745, timestamp: 184854590534, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: CBCI-E8E1-5, BSSID: c0:7c:d1:0d:0b:30, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -92, frequency: 5240, timestamp: 184854590460, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 2, centerFreq0: 5210, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: Pedro's iPhone, BSSID: fe:9b:9c:26:d9:26, capabilities: [WPA2-PSK-CCMP][ESS], level: -88, frequency: 2412, timestamp: 184854590147, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: , BSSID: 00:1f:9e:29:11:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2452, timestamp: 184854590206, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Guest, BSSID: 18:64:72:11:87:d1, capabilities: [ESS], level: -73, frequency: 5180, timestamp: 184870550003, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: , BSSID: 18:64:72:11:87:d3, capabilities: [ESS], level: -74, frequency: 5180, timestamp: 184870550013, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Guest, BSSID: 18:64:72:11:87:31, capabilities: [ESS], level: -80, frequency: 5220, timestamp: 184870550020, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: , BSSID: 18:64:72:11:5a:b3, capabilities: [ESS], level: -80, frequency: 5825, timestamp: 184870550093, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Guest, BSSID: 18:64:72:11:5b:31, capabilities: [ESS], level: -82, frequency: 5785, timestamp: 184854590626, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Guest, BSSID: 18:64:72:11:5a:b1, capabilities: [ESS], level: -80, frequency: 5825, timestamp: 184870550089, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: meijermobile, BSSID: 00:23:eb:61:cc:d5, capabilities: [ESS], level: -82, frequency: 2412, timestamp: 184854590176, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: HP00A27D, BSSID: 02:23:53:47:f5:d4, capabilities: [IBSS], level: -82, frequency: 2457, timestamp: 184854590221, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
